NRegion-1	0	50	
NRegion-2	3157	3412
NRegion-3	4686	5259
NRegion-4	5575	5584
NRegion-5	6507	6507
NRegion-6	7695	7695
NRegion-7	9274	9497
NRegion-8	9819	10099
NRegion-9	10388	10419
NRegion-10	10717	10742
NRegion-11	11774	11774
NRegion-12	14928	15237
NRegion-13	19252	19513
NRegion-14	19863	20117
NRegion-15	21013	21013
NRegion-16	24804	25076
NRegion-17	26592	26621
NRegion-18	29818	29893
MN908947.3	25	50	
MN908947.3	324	344	
MN908947.3	408	431	
MN908947.3	644	666	
MN908947.3	705	727	
MN908947.3	25	50	
MN908947.3	324	344	
MN908947.3	408	431	
MN908947.3	644	666	
MN908947.3	705	727	
MN908947.3	944	966	
MN908947.3	1017	1044	
MN908947.3	1245	1266	
MN908947.3	1337	1362	
MN908947.3	1540	1562	
MN908947.3	1623	1650	
MN908947.3	1851	1875	
MN908947.3	1925	1948	
MN908947.3	2154	2180	
MN908947.3	2228	2250	
MN908947.3	2483	2508	
MN908947.3	2544	2571	
MN908947.3	2780	2813	
MN908947.3	2826	2850	
MN908947.3	2861	2885	
MN908947.3	3078	3102	
MN908947.3	3156	3177	
MN908947.3	3183	3210	
MN908947.3	3390	3412	
MN908947.3	3470	3492	
MN908947.3	3683	3705	
MN908947.3	3769	3794	
MN908947.3	3992	4018	
MN908947.3	4067	4093	
MN908947.3	4312	4339	
MN908947.3	4387	4409	
MN908947.3	4620	4648	
MN908947.3	4685	4710	
MN908947.3	4923	4953	
MN908947.3	4995	5017	
MN908947.3	5230	5259	
MN908947.3	5302	5331	
MN908947.3	5561	5584	
MN908947.3	5620	5643	
MN908947.3	5867	5894	
MN908947.3	5932	5957	
MN908947.3	6184	6210	
MN908947.3	6247	6272	
MN908947.3	6478	6507	
MN908947.3	6553	6582	
MN908947.3	6747	6776	
MN908947.3	6859	6885	
MN908947.3	7057	7084	
MN908947.3	7122	7148	
MN908947.3	7127	7156	
MN908947.3	7381	7403	
MN908947.3	7440	7467	
MN908947.3	7672	7695	
MN908947.3	7747	7770	
MN908947.3	7997	8019	
MN908947.3	8063	8092	
MN908947.3	8304	8326	
MN908947.3	8367	8392	
MN908947.3	8370	8395	
MN908947.3	8596	8619	
MN908947.3	8691	8714	
MN908947.3	8919	8944	
MN908947.3	8990	9013	
MN908947.3	9168	9192	
MN908947.3	9306	9329	
MN908947.3	9470	9497	
MN908947.3	9535	9564	
MN908947.3	9782	9805	
MN908947.3	9842	9866	
MN908947.3	10076	10099	
MN908947.3	10150	10176	
MN908947.3	10393	10419	
MN908947.3	10465	10491	
MN908947.3	10713	10742	
MN908947.3	10785	10810	
MN908947.3	11000	11023	
MN908947.3	11092	11116	
MN908947.3	11305	11330	
MN908947.3	11388	11414	
MN908947.3	11624	11651	
MN908947.3	11689	11720	
MN908947.3	11937	11963	
MN908947.3	12011	12033	
MN908947.3	12234	12255	
MN908947.3	12317	12339	
MN908947.3	12519	12546	
MN908947.3	12618	12643	
MN908947.3	12831	12856	
MN908947.3	12895	12920	
MN908947.3	13124	13148	
MN908947.3	13218	13240	
MN908947.3	13463	13485	
MN908947.3	13506	13528	
MN908947.3	13752	13775	
MN908947.3	13833	13859	
MN908947.3	14045	14075	
MN908947.3	14120	14144	
MN908947.3	14338	14362	
MN908947.3	14428	14457	
MN908947.3	14647	14674	
MN908947.3	14717	14743	
MN908947.3	14953	14983	
MN908947.3	15023	15050	
MN908947.3	15214	15237	
MN908947.3	15336	15358	
MN908947.3	15535	15557	
MN908947.3	15596	15619	
MN908947.3	15855	15881	
MN908947.3	15917	15941	
MN908947.3	16112	16137	
MN908947.3	16239	16260	
MN908947.3	16386	16408	
MN908947.3	16483	16508	
MN908947.3	16692	16714	
MN908947.3	16767	16796	
MN908947.3	16986	17013	
MN908947.3	17082	17105	
MN908947.3	17323	17345	
MN908947.3	17381	17405	
MN908947.3	17615	17642	
MN908947.3	17688	17711	
MN908947.3	17911	17939	
MN908947.3	17997	18022	
MN908947.3	18244	18267	
MN908947.3	18307	18328	
MN908947.3	18550	18578	
MN908947.3	18624	18652	
MN908947.3	18869	18891	
MN908947.3	18936	18961	
MN908947.3	19183	19222	
MN908947.3	19252	19277	
MN908947.3	19485	19513	
MN908947.3	19558	19586	
MN908947.3	19810	19836	
MN908947.3	19877	19901	
MN908947.3	20090	20117	
MN908947.3	20186	20216	
MN908947.3	20377	20405	
MN908947.3	20472	20497	
MN908947.3	20677	20699	
MN908947.3	20766	20792	
MN908947.3	20988	21013	
MN908947.3	21050	21080	
MN908947.3	21294	21316	
MN908947.3	21358	21387	
MN908947.3	21532	21561	
MN908947.3	21675	21700	
MN908947.3	21865	21889	
